subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet
Or-Rh-46,1964-08-18,1986-11-09,22.23,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-47,1964-08-18,1983-04-27,18.69,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-48,1964-08-18,1992-08-12,27.99,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-49,1964-08-18,1991-02-12,26.49,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-5,1977-11-26,1998-07-10,20.62,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-51,1964-08-19,1993-12-29,29.36,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-52,1964-08-19,1984-06-29,19.86,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-53,1965-04-14,1993-11-02,28.55,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-54,1965-04-17,1993-12-30,28.70,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-55,1965-04-27,1984-11-15,19.55,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-56,1965-04-28,1996-04-01,30.92,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-57,1965-05-09,1996-05-07,31.00,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-58,1965-05-10,1990-06-26,25.13,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-59,1965-05-12,1993-05-05,27.98,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-6,1977-12-11,1998-05-07,20.41,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-60,1965-05-26,1988-11-16,23.47,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-61,1965-06-08,1997-02-20,31.70,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-62,1965-06-09,1994-10-20,29.36,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-63,1965-06-16,1983-07-14,18.08,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-64,1965-08-04,1994-05-27,28.81,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-65,1965-10-06,1987-07-01,21.74,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-66,1965-10-21,1993-01-30,27.27,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-67,1966-01-22,1993-04-07,27.21,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-68,1966-03-19,1994-12-14,28.74,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-69,1966-05-20,1995-04-16,28.91,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-7,1978-07-27,2003-04-01,24.68,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-70,1966-06-09,1999-08-10,33.17,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-71,1966-06-28,1995-08-15,29.13,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-72,1966-07-14,1998-07-22,32.02,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-73,1966-07-14,1983-08-12,17.08,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-74,1966-08-23,1997-04-29,30.68,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-75,1966-11-01,1985-04-16,18.46,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-76,1966-11-08,1993-11-10,27.01,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-77,1967-03-18,1984-03-16,17.00,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-78,1967-04-05,1998-12-08,31.67,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-79,1967-05-08,1996-11-26,29.55,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-8,1978-01-01,2001-06-25,23.48,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-80,1967-08-02,1999-05-27,31.82,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-81,1967-08-05,1999-04-29,31.73,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-82,1967-11-29,1982-05-09,14.44,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-83,1968-02-16,1992-12-01,24.79,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-84,1968-06-16,1996-02-29,27.70,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-85,1968-08-05,2001-09-07,33.09,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-86,1968-08-14,1988-03-22,19.61,Rhesus Indian-derived macaque,Male,Unknown,Inside,Chow
Or-Rh-87,1968-09-10,1995-11-30,27.22,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-88,1969-02-20,1983-11-22,14.76,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-89,1969-03-10,2000-11-17,31.69,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-9,1978-07-01,2007-10-01,29.25,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-90,1969-04-10,1987-06-17,18.19,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-91,1969-06-06,1987-02-12,17.68,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-92,1970-01-12,2001-03-23,31.20,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-93,1970-05-17,1991-09-17,21.33,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-94,1970-08-27,1993-06-07,22.78,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-95,1970-09-07,1996-03-21,25.54,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Or-Rh-96,1970-12-29,1989-02-15,18.13,Rhesus Indian-derived macaque,Female,Unknown,Inside,Chow
Or-Rh-97,1971-03-11,2003-05-23,32.20,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-98,1971-03-23,2001-08-03,30.36,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Or-Rh-99,1971-04-08,1997-02-12,25.84,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Po-Rh-1,1985-05-26,2020-01-17,34.64,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-10,1983-05-03,2013-06-06,30.09,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-11,1983-04-23,2018-08-02,35.27,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-12,1982-05-09,1990-08-01,8.23,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-13,1967-01-01,1992-02-01,25.08,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-14,1967-05-01,1996-09-20,29.39,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-15,1968-01-01,2006-11-14,38.87,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-16,1986-07-11,2019-01-05,32.49,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-17,1986-08-01,2006-02-13,19.53,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-18,1986-07-13,2014-06-17,27.93,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-19,1986-05-09,2016-03-24,29.87,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-2,1985-07-25,2011-04-13,25.72,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-20,1985-04-19,2013-09-01,28.37,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-21,1985-05-04,2014-01-16,28.70,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-22,1985-03-23,1999-11-24,14.67,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-23,1984-09-07,2011-10-18,27.11,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-24,1970-07-07,2011-05-11,40.84,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-25,1972-03-05,2010-05-28,38.23,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-26,1972-07-14,2007-12-12,35.41,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-27,1973-09-19,2014-11-24,41.18,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-28,1972-03-15,2005-06-13,33.25,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-29,1972-08-31,2006-10-09,34.11,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-3,1985-02-25,2019-08-13,34.46,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-30,1972-04-04,1997-03-11,24.94,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-31,1990-05-01,2011-12-25,21.65,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-32,1991-05-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-33,1990-05-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-34,1989-04-17,1999-10-26,10.52,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-35,1990-05-01,1996-05-19,6.05,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-36,1990-05-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-37,1990-05-01,2021-04-30,31.00,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-38,1990-05-01,2022-04-03,31.92,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-39,1989-04-03,2020-09-21,31.47,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-4,1985-03-29,1992-11-01,7.59,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-40,1972-05-01,1998-07-30,26.25,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-41,1979-05-01,2011-08-26,32.32,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-42,1973-05-01,2007-02-21,33.80,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-43,1976-04-11,2009-09-23,33.45,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-44,1976-08-01,2018-08-01,42.00,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-45,1973-06-01,1998-02-09,24.69,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-46,1980-12-31,2005-05-05,24.35,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-47,1971-06-01,1999-07-20,28.14,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-48,1973-06-01,1998-01-29,24.66,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-49,1981-05-01,1997-02-20,15.80,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-5,1985-04-04,2018-09-25,33.47,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-50,1979-05-01,2001-06-21,22.14,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-51,1985-01-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-52,1984-05-29,2017-03-14,32.79,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-53,1985-05-19,2006-02-09,20.72,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-54,1985-04-26,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-55,1985-05-19,2022-01-30,36.70,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-56,1984-05-02,2002-12-17,18.62,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-57,1985-06-10,2008-01-25,22.62,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-58,1986-09-01,2003-04-06,16.60,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-59,1986-04-25,1998-05-26,12.09,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-6,1985-04-09,2014-02-04,28.82,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-60,1986-06-01,2014-02-19,27.72,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-61,1985-01-01,2010-08-31,25.67,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-62,1973-07-01,1996-02-23,22.64,Rhesus Indian-derived macaque,Female,Individual,Inside,Other
Po-Rh-63,1985-09-01,2014-05-06,28.68,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-64,1984-01-01,2018-03-08,34.19,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-7,1983-04-03,2015-11-20,32.63,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-8,1983-05-11,2005-10-17,22.43,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Rh-9,1982-04-21,2016-05-27,34.10,Rhesus Indian-derived macaque,Male,Individual,Inside,Other
Po-Sq-1,1983-06-01,2006-05-31,23.00,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-10,1981-01-01,2011-08-30,30.66,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-11,1982-12-01,2007-02-23,24.23,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-12,1979-07-01,2007-12-17,28.46,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-13,1979-07-01,2007-07-25,28.07,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-14,1974-06-01,1999-11-10,25.44,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-15,1977-12-01,1991-07-11,13.61,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-16,1976-06-01,1999-01-11,22.61,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-17,1971-08-01,1998-04-12,26.70,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-18,1971-08-01,1992-03-19,20.63,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-19,1971-08-01,1995-02-10,23.52,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-2,1983-06-01,1999-01-22,15.64,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-20,1981-06-01,1999-10-29,18.41,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-21,1978-01-01,2000-05-18,22.38,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-22,1978-01-01,1999-08-24,21.65,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-23,1980-01-01,1999-10-20,19.80,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-24,1978-01-01,2002-06-27,24.49,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-25,1979-02-28,1997-05-07,18.19,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-26,1980-01-01,2004-11-07,24.85,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-3,1982-12-01,2001-01-19,18.13,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-4,1986-10-01,2000-11-03,14.09,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-5,1985-07-01,2008-02-14,22.62,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-6,1984-01-01,2004-12-07,20.93,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-7,1984-01-01,1998-02-27,14.15,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-8,1978-06-01,2005-06-16,27.04,Common squirrel monkey,Male,Individual,Inside,Other
Po-Sq-9,1979-06-01,1998-11-09,19.44,Common squirrel monkey,Male,Individual,Inside,Other
Tx-Ch-1,1962-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-10,1966-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-100,1990-07-17,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-101,1990-09-02,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-102,1990-09-27,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-103,1990-11-12,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-104,1990-12-12,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-105,1991-02-11,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-106,1991-02-24,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-107,1991-06-13,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-109,1991-08-30,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-110,1991-11-18,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-111,1992-01-05,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-112,1992-03-08,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-113,1992-04-12,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-114,1992-05-08,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-116,1992-07-24,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-117,1992-09-04,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-118,1992-11-18,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-119,1992-11-28,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-120,1992-12-21,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-121,1993-01-19,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-122,1993-03-11,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-123,1993-04-02,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-124,1993-05-16,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-125,1993-06-16,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-126,1993-07-03,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-127,1994-06-23,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-128,1995-08-30,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-129,1995-10-17,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-130,1995-11-27,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-15,1970-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-16,1966-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-17,1967-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-18,1968-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-19,1967-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-2,1965-01-01,1995-02-13,30.12,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-20,1968-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-21,1968-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-22,1972-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-23,1968-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-24,1965-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-25,1966-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-26,1968-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-27,1966-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-28,1968-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-29,1971-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-3,1964-01-01,1996-07-18,32.55,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-30,1970-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-31,1969-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-32,1972-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-33,1971-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-34,1974-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-36,1972-05-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-37,1972-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-38,1972-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-39,1974-09-05,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-4,1966-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-40,1974-12-27,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-42,1976-12-14,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-43,1977-07-12,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-44,1978-01-14,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-45,1978-04-18,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-46,1978-04-25,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-47,1978-11-14,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-48,1979-12-22,1996-04-16,16.32,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-49,1981-03-31,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-5,1963-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-50,1981-05-09,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-51,1982-01-16,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-52,1982-10-14,1997-10-05,14.98,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-53,1982-11-13,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-54,1982-12-07,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-55,1982-12-28,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-56,1982-12-29,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-57,1983-05-22,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-58,1983-10-30,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-59,1983-12-04,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-6,1962-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-60,1984-06-17,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-61,1984-08-20,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-62,1984-09-08,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-63,1984-09-14,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-64,1984-11-06,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-65,1984-11-20,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-66,1985-02-12,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-7,1965-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-70,1986-08-19,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-71,1986-11-13,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-72,1987-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-73,1987-01-10,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-74,1987-01-27,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-75,1987-07-20,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-76,1987-10-14,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-77,1987-11-25,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-78,1988-02-28,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-79,1988-03-16,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-8,1965-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-80,1988-04-07,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-82,1988-05-26,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-83,1988-08-25,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-84,1988-12-02,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-85,1989-03-28,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-87,1989-06-03,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-88,1989-07-13,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-89,1990-01-14,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-9,1967-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-90,1990-02-05,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-92,1990-03-04,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-93,1960-01-01,1995-08-15,35.62,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-94,1962-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-95,1963-01-01,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-96,1964-01-01,,,Chimpanzee,Female,Social,Outside,Other
Tx-Ch-97,1990-03-23,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-98,1990-06-12,,,Chimpanzee,Male,Social,Outside,Other
Tx-Ch-99,1990-06-21,,,Chimpanzee,Male,Social,Outside,Other
Wa-Pi-1,1970-11-21,1984-03-07,13.29,Pigtail macaque,Male,Social,Inside,Chow
Wa-Pi-10,1976-04-19,1995-08-09,19.30,Pigtail macaque,Male,Social,Inside,Chow
Wa-Pi-101,1971-05-05,1989-12-21,18.63,Pigtail macaque,Male,Unknown,Inside,Chow
Wa-Pi-102,1971-06-15,1995-08-10,24.15,Pigtail macaque,Male,Unknown,Inside,Chow
Wa-Pi-11,1976-04-20,1995-08-10,19.30,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-110,1970-02-03,1987-02-03,17.00,Pigtail macaque,Female,Individual,Inside,Chow
Wa-Pi-111,1970-03-09,1991-03-03,20.99,Pigtail macaque,Female,Individual,Inside,Chow
Wa-Pi-112,1970-03-28,1988-08-10,18.37,Pigtail macaque,Male,Individual,Inside,Chow
Wa-Pi-113,1971-03-31,1991-01-06,19.77,Pigtail macaque,Female,Individual,Inside,Chow
Wa-Pi-114,1972-03-09,1990-12-13,18.76,Pigtail macaque,Female,Individual,Inside,Chow
Wa-Pi-115,1955-07-01,1989-10-11,34.28,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-116,1966-07-15,1989-01-12,22.49,Pigtail macaque,Male,Social,Inside,Chow
Wa-Pi-117,1964-08-13,1987-01-22,22.44,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-118,1965-07-01,1989-02-15,23.62,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-119,1966-05-29,1995-08-09,29.20,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-12,1965-07-01,1992-02-27,26.65,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-120,1966-07-01,1995-08-08,29.10,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-121,1964-07-01,1989-09-29,25.24,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-122,1968-07-01,1986-03-08,17.69,Pigtail macaque,Female,Social,Inside,Chow
Wa-Pi-123,1960-07-01,1987-03-12,26.70,Pigtail macaque,Male,Social,Inside,Chow
